region,quarter,date,total_revenue_millions,total_stores,new_stores_opened,avg_customer_satisfaction,market_share_pct,yoy_revenue_growth_pct,digital_order_pct
West Coast,2023-Q1,2023-01-01,432.2,210,1,4.44,14.12,11.98,0.29
Northeast,2023-Q1,2023-01-01,393.9,195,8,4.49,12.91,9.28,0.292
Pacific Northwest,2023-Q1,2023-01-01,260.4,140,2,4.32,9.69,10.42,0.423
Southeast,2023-Q1,2023-01-01,317.1,155,2,4.05,10.07,4.54,0.376
Midwest,2023-Q1,2023-01-01,265.3,130,4,4.33,9.0,11.44,0.31
Mid-Atlantic,2023-Q1,2023-01-01,289.5,148,5,4.27,9.83,5.93,0.431
Southwest,2023-Q1,2023-01-01,229.4,115,3,4.12,7.49,5.95,0.34
Mountain,2023-Q1,2023-01-01,191.1,93,6,4.39,6.07,5.03,0.355
West Coast,2023-Q2,2023-04-01,436.6,213,2,4.24,14.24,8.54,0.46
Northeast,2023-Q2,2023-04-01,379.2,197,4,4.46,12.8,5.5,0.38
Pacific Northwest,2023-Q2,2023-04-01,296.7,142,6,4.44,9.69,6.05,0.516
Southeast,2023-Q2,2023-04-01,320.8,157,5,4.34,10.45,9.26,0.409
Midwest,2023-Q2,2023-04-01,264.6,131,3,4.21,8.86,11.99,0.325
Mid-Atlantic,2023-Q2,2023-04-01,299.8,150,8,4.29,9.42,7.7,0.355
Southwest,2023-Q2,2023-04-01,235.5,116,5,4.27,7.65,9.08,0.411
Mountain,2023-Q2,2023-04-01,197.4,94,1,4.38,6.28,6.69,0.413
West Coast,2023-Q3,2023-07-01,439.3,216,5,4.26,13.78,4.82,0.456
Northeast,2023-Q3,2023-07-01,406.3,200,2,4.17,12.75,12.47,0.391
Pacific Northwest,2023-Q3,2023-07-01,280.7,144,3,4.07,9.28,8.01,0.368
Southeast,2023-Q3,2023-07-01,308.2,159,5,4.55,10.51,8.63,0.43
Midwest,2023-Q3,2023-07-01,268.4,133,2,4.22,8.8,11.89,0.493
Mid-Atlantic,2023-Q3,2023-07-01,315.4,152,2,4.39,9.93,4.64,0.449
Southwest,2023-Q3,2023-07-01,240.7,118,3,4.01,7.55,6.99,0.404
Mountain,2023-Q3,2023-07-01,197.6,95,5,4.31,6.07,12.18,0.366
West Coast,2023-Q4,2023-10-01,449.1,219,5,4.15,14.35,10.53,0.374
Northeast,2023-Q4,2023-10-01,398.3,203,4,4.03,12.95,8.48,0.363
Pacific Northwest,2023-Q4,2023-10-01,286.8,146,6,4.08,9.56,7.73,0.405
Southeast,2023-Q4,2023-10-01,327.1,161,4,4.54,10.65,6.24,0.423
Midwest,2023-Q4,2023-10-01,282.1,135,5,4.59,9.06,8.24,0.369
Mid-Atlantic,2023-Q4,2023-10-01,305.6,154,8,4.02,9.86,8.05,0.339
Southwest,2023-Q4,2023-10-01,241.4,120,5,4.21,7.7,10.16,0.34
Mountain,2023-Q4,2023-10-01,187.2,97,1,4.34,6.1,6.31,0.452
West Coast,2024-Q1,2024-01-01,443.1,226,2,4.02,14.7,4.68,0.408
Northeast,2024-Q1,2024-01-01,425.4,210,7,4.26,13.09,11.56,0.327
Pacific Northwest,2024-Q1,2024-01-01,310.7,151,5,4.18,9.13,12.48,0.389
Southeast,2024-Q1,2024-01-01,359.4,167,1,4.59,10.73,9.3,0.44
Midwest,2024-Q1,2024-01-01,278.5,140,1,4.36,8.87,11.42,0.421
Mid-Atlantic,2024-Q1,2024-01-01,338.4,159,6,4.28,9.5,5.64,0.458
Southwest,2024-Q1,2024-01-01,230.8,124,3,4.34,7.82,6.43,0.383
Mountain,2024-Q1,2024-01-01,192.0,100,5,4.45,6.27,8.67,0.487
West Coast,2024-Q2,2024-04-01,459.6,229,3,4.12,14.54,10.39,0.38
Northeast,2024-Q2,2024-04-01,415.5,213,8,4.38,12.86,7.49,0.36
Pacific Northwest,2024-Q2,2024-04-01,306.1,153,7,4.41,9.57,9.52,0.305
Southeast,2024-Q2,2024-04-01,331.1,169,1,4.48,10.64,9.36,0.356
