store_id,store_name,region,format,date,revenue,transactions,avg_ticket_usd,mobile_order_pct,drive_thru_pct
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-01-01,33112.64,3693,8.97,0.358,0.355
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-01-08,31690.29,4056,7.81,0.233,0.603
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-01-15,35537.44,4712,7.54,0.443,0.591
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-01-22,33719.05,4254,7.93,0.262,0.364
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-01-29,32542.0,3890,8.37,0.287,0.514
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-02-05,27714.25,3562,7.78,0.287,0.428
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-02-12,35283.05,4466,7.9,0.338,0.507
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-02-19,31494.26,4147,7.59,0.36,0.36
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-02-26,30654.57,3456,8.87,0.321,0.343
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-03-05,31346.61,3692,8.49,0.228,0.618
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-03-12,33842.5,4166,8.12,0.34,0.491
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-03-19,29265.31,3718,7.87,0.443,0.571
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-03-26,33654.17,4383,7.68,0.265,0.316
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-04-02,32383.86,3973,8.15,0.309,0.395
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-04-09,30968.17,3841,8.06,0.345,0.349
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-04-16,34367.95,3774,9.11,0.237,0.645
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-04-23,30483.69,4058,7.51,0.408,0.547
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-04-30,33370.15,3725,8.96,0.397,0.326
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-05-07,30120.15,3264,9.23,0.363,0.416
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-05-14,31307.36,4104,7.63,0.292,0.414
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-05-21,33820.06,3646,9.28,0.329,0.342
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-05-28,35037.98,3925,8.93,0.395,0.496
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-06-04,34473.33,4034,8.55,0.318,0.309
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-06-11,38345.19,4969,7.72,0.227,0.523
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-06-18,34781.99,3733,9.32,0.277,0.444
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-06-25,29751.67,3301,9.01,0.273,0.327
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-07-02,32604.09,3483,9.36,0.406,0.522
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-07-09,33346.15,3607,9.24,0.405,0.365
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-07-16,34794.85,3817,9.12,0.426,0.411
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-07-23,36903.35,4780,7.72,0.272,0.449
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-07-30,35276.37,4694,7.52,0.337,0.446
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-08-06,35191.54,4429,7.95,0.248,0.418
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-08-13,34169.82,4002,8.54,0.382,0.427
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-08-20,35537.48,3763,9.44,0.441,0.388
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-08-27,29918.11,3707,8.07,0.228,0.513
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-09-03,31940.61,3755,8.51,0.232,0.398
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-09-10,31569.11,4052,7.79,0.333,0.645
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-09-17,32675.47,4092,7.99,0.375,0.567
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-09-24,33771.91,4100,8.24,0.365,0.522
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-10-01,29962.97,3495,8.57,0.241,0.592
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-10-08,29781.2,3928,7.58,0.356,0.537
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-10-15,30731.49,4079,7.53,0.338,0.379
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-10-22,29620.44,3334,8.88,0.309,0.628
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-10-29,33060.85,4252,7.78,0.298,0.34
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-11-05,33822.28,3702,9.14,0.348,0.485
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-11-12,29242.86,3662,7.99,0.241,0.614
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-11-19,32582.14,3984,8.18,0.3,0.554
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-11-26,33751.28,3631,9.3,0.424,0.573
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-12-03,35048.26,4480,7.82,0.427,0.512
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-12-10,37398.29,4974,7.52,0.243,0.532
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-12-17,41606.24,4725,8.81,0.272,0.549
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-12-24,38020.59,4767,7.98,0.295,0.561
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2023-12-31,39281.66,4456,8.82,0.351,0.333
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-01-07,32924.63,3997,8.24,0.281,0.385
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-01-14,31827.29,3428,9.28,0.365,0.578
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-01-21,32764.18,3852,8.51,0.353,0.472
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-01-28,33401.49,4143,8.06,0.226,0.526
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-02-04,30079.97,3829,7.86,0.436,0.634
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-02-11,31499.44,4182,7.53,0.434,0.45
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-02-18,33599.36,3561,9.44,0.442,0.599
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-02-25,30103.18,3271,9.2,0.293,0.359
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-03-03,28606.74,3321,8.61,0.435,0.544
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-03-10,30020.16,3438,8.73,0.448,0.349
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-03-17,32344.34,3788,8.54,0.422,0.559
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-03-24,34426.03,4188,8.22,0.288,0.583
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-03-31,34360.52,3767,9.12,0.419,0.62
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-04-07,33153.71,3644,9.1,0.369,0.546
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-04-14,40630.12,4468,9.09,0.425,0.418
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-04-21,30268.87,3496,8.66,0.228,0.463
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-04-28,31469.53,3665,8.59,0.286,0.507
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-05-05,30942.87,3990,7.76,0.34,0.569
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-05-12,34439.25,4342,7.93,0.363,0.33
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-05-19,32102.08,3740,8.58,0.367,0.554
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-05-26,30540.42,3231,9.45,0.339,0.413
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-06-02,32959.01,3934,8.38,0.238,0.309
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-06-09,36622.21,3885,9.43,0.412,0.544
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-06-16,31656.24,4051,7.81,0.278,0.492
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-06-23,33750.77,3779,8.93,0.372,0.398
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-06-30,39693.92,4759,8.34,0.277,0.425
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-07-07,37057.74,4110,9.02,0.223,0.341
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-07-14,35633.69,4217,8.45,0.243,0.472
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-07-21,36433.99,4313,8.45,0.26,0.452
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-07-28,38509.13,4390,8.77,0.23,0.431
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-08-04,31100.2,3553,8.75,0.336,0.6
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-08-11,32185.53,4212,7.64,0.368,0.309
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-08-18,35677.92,4114,8.67,0.436,0.501
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-08-25,38396.89,4562,8.42,0.345,0.63
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-09-01,29227.29,3533,8.27,0.441,0.617
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-09-08,32629.42,4269,7.64,0.293,0.596
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-09-15,30605.15,4055,7.55,0.407,0.399
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-09-22,32799.71,3745,8.76,0.422,0.557
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-09-29,30447.88,3343,9.11,0.285,0.362
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-10-06,33673.94,3551,9.48,0.315,0.43
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-10-13,33367.23,3685,9.05,0.298,0.626
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-10-20,31512.39,3500,9.0,0.394,0.336
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-10-27,34461.26,3703,9.31,0.336,0.589
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-11-03,33527.57,4050,8.28,0.222,0.617
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-11-10,31305.0,4074,7.68,0.293,0.633
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-11-17,32217.27,3676,8.76,0.323,0.403
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-11-24,33333.15,4086,8.16,0.375,0.563
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-12-01,38407.73,4999,7.68,0.334,0.32
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-12-08,38418.62,4467,8.6,0.322,0.611
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-12-15,34673.52,4453,7.79,0.395,0.516
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-12-22,35972.11,4670,7.7,0.239,0.545
N-0001,Starbucks New York #1,Northeast,Drive-Thru,2024-12-29,35586.61,4639,7.67,0.447,0.431
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-01-01,27438.57,3329,8.24,0.407,0.095
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-01-08,25642.14,2832,9.05,0.348,0.042
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-01-15,26596.58,2855,9.32,0.246,0.049
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-01-22,26965.01,3542,7.61,0.247,0.012
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-01-29,26454.44,3006,8.8,0.392,0.058
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-02-05,26794.44,3319,8.07,0.42,0.022
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-02-12,27759.24,2944,9.43,0.223,0.097
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-02-19,27423.53,3585,7.65,0.347,0.097
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-02-26,27023.8,3162,8.55,0.365,0.07
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-03-05,31069.51,3584,8.67,0.427,0.005
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-03-12,25549.71,3169,8.06,0.439,0.089
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-03-19,31138.73,3865,8.06,0.263,0.046
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-03-26,25472.32,3103,8.21,0.354,0.008
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-04-02,27645.92,3405,8.12,0.407,0.068
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-04-09,30545.96,3903,7.83,0.43,0.082
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-04-16,24504.76,2616,9.37,0.419,0.005
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-04-23,30461.46,4033,7.55,0.307,0.081
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-04-30,23762.18,2517,9.44,0.414,0.084
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-05-07,29558.82,3503,8.44,0.315,0.027
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-05-14,27009.91,2988,9.04,0.437,0.085
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-05-21,27088.79,3388,8.0,0.324,0.013
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-05-28,27227.36,3421,7.96,0.374,0.062
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-06-04,30210.07,3676,8.22,0.246,0.067
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-06-11,32326.21,3785,8.54,0.416,0.055
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-06-18,29396.12,3409,8.62,0.422,0.04
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-06-25,30477.34,3421,8.91,0.269,0.014
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-07-02,31953.65,4244,7.53,0.301,0.059
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-07-09,26744.73,2873,9.31,0.3,0.051
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-07-16,24997.52,2756,9.07,0.311,0.062
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-07-23,25683.06,3050,8.42,0.445,0.049
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-07-30,29046.62,3560,8.16,0.366,0.024
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-08-06,29908.3,3803,7.86,0.3,0.09
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-08-13,27241.52,3224,8.45,0.374,0.017
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-08-20,28077.64,3574,7.86,0.24,0.012
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-08-27,27541.59,3270,8.42,0.267,0.036
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-09-03,30713.33,4052,7.58,0.404,0.063
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-09-10,27066.65,3531,7.67,0.421,0.092
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-09-17,26787.7,2939,9.11,0.392,0.018
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-09-24,26582.37,3356,7.92,0.305,0.048
S-0002,Starbucks Charlotte #2,Southeast,Cafe,2023-10-01,24136.29,2864,8.43,0.392,0.004
