store_id,store_name,region,format,date,customer_satisfaction,drive_thru_wait_sec,mobile_order_pct,loyalty_redemption_pct,staff_hours,waste_pct,upsell_success_pct
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-01-01,4.73,,0.23,0.573,469,0.039,0.19
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-02-01,4.66,,0.207,0.5,450,0.04,0.283
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-03-01,4.46,,0.405,0.63,428,0.059,0.336
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-04-01,4.71,,0.413,0.401,474,0.012,0.154
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-05-01,4.72,,0.263,0.573,530,0.017,0.305
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-06-01,4.49,,0.331,0.538,408,0.06,0.25
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-07-01,4.62,,0.312,0.501,488,0.026,0.344
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-08-01,4.61,,0.41,0.49,550,0.011,0.236
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-09-01,4.66,,0.211,0.504,481,0.015,0.137
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-10-01,4.43,,0.41,0.504,502,0.021,0.223
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-11-01,4.68,,0.44,0.426,483,0.02,0.257
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2023-12-01,4.57,,0.321,0.385,523,0.018,0.242
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-01-01,4.62,,0.266,0.483,474,0.012,0.225
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-02-01,4.8,,0.287,0.389,496,0.012,0.261
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-03-01,4.41,,0.433,0.571,491,0.024,0.288
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-04-01,4.75,,0.233,0.558,434,0.022,0.243
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-05-01,4.72,,0.217,0.4,448,0.019,0.11
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-06-01,4.71,,0.202,0.385,494,0.038,0.344
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-07-01,4.46,,0.241,0.396,539,0.028,0.278
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-08-01,4.63,,0.443,0.406,486,0.032,0.111
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-09-01,4.66,,0.347,0.575,534,0.027,0.29
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-10-01,4.97,,0.47,0.491,470,0.031,0.326
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-11-01,4.33,,0.267,0.36,506,0.046,0.158
N-0001,Starbucks Philadelphia #1,Northeast,Cafe,2024-12-01,4.75,,0.466,0.351,487,0.026,0.309
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-01-01,4.34,,0.324,0.458,493,0.033,0.263
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-02-01,4.47,,0.453,0.435,455,0.058,0.256
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-03-01,4.16,,0.285,0.402,434,0.053,0.205
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-04-01,4.3,,0.239,0.514,499,0.06,0.241
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-05-01,4.4,,0.344,0.448,437,0.024,0.332
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-06-01,4.29,,0.272,0.381,515,0.018,0.231
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-07-01,4.26,,0.327,0.574,477,0.055,0.246
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-08-01,4.16,,0.339,0.569,535,0.046,0.206
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-09-01,4.4,,0.377,0.543,483,0.049,0.129
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-10-01,4.37,,0.301,0.438,481,0.04,0.155
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-11-01,4.11,,0.362,0.531,487,0.031,0.196
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2023-12-01,4.17,,0.34,0.424,433,0.049,0.277
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-01-01,4.21,,0.2,0.529,469,0.021,0.103
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-02-01,4.34,,0.393,0.607,475,0.017,0.118
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-03-01,4.23,,0.31,0.569,405,0.025,0.234
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-04-01,4.28,,0.354,0.501,484,0.05,0.167
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-05-01,4.36,,0.316,0.624,452,0.042,0.241
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-06-01,4.31,,0.392,0.542,468,0.023,0.337
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-07-01,4.15,,0.476,0.574,461,0.031,0.334
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-08-01,4.14,,0.457,0.602,501,0.025,0.322
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-09-01,4.29,,0.462,0.607,456,0.028,0.146
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-10-01,4.29,,0.367,0.36,420,0.031,0.308
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-11-01,4.1,,0.467,0.43,471,0.05,0.148
S-0002,Starbucks Atlanta #2,Southeast,Cafe,2024-12-01,4.23,,0.34,0.505,371,0.021,0.229
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-01-01,4.1,229.0,0.359,0.596,479,0.03,0.153
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-02-01,4.15,214.0,0.403,0.44,478,0.04,0.162
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-03-01,4.36,219.0,0.356,0.57,535,0.045,0.303
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-04-01,3.83,231.0,0.437,0.434,504,0.032,0.241
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-05-01,4.41,204.0,0.208,0.413,453,0.048,0.24
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-06-01,4.05,194.0,0.269,0.5,506,0.014,0.196
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-07-01,4.08,192.0,0.441,0.466,480,0.04,0.305
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-08-01,4.02,221.0,0.21,0.494,514,0.054,0.279
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-09-01,4.29,242.0,0.212,0.64,484,0.048,0.196
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-10-01,4.08,211.0,0.295,0.456,434,0.042,0.321
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-11-01,4.51,233.0,0.385,0.515,441,0.026,0.329
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2023-12-01,4.01,221.0,0.455,0.616,528,0.056,0.155
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-01-01,4.35,270.0,0.405,0.429,449,0.052,0.299
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-02-01,4.48,186.0,0.401,0.515,458,0.038,0.288
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-03-01,4.17,232.0,0.356,0.599,464,0.015,0.158
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-04-01,4.34,207.0,0.317,0.354,506,0.013,0.267
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-05-01,4.47,283.0,0.231,0.456,461,0.054,0.13
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-06-01,4.3,206.0,0.465,0.449,428,0.043,0.247
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-07-01,4.17,185.0,0.46,0.405,469,0.021,0.155
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-08-01,4.09,223.0,0.409,0.553,446,0.056,0.136
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-09-01,4.06,157.0,0.265,0.393,530,0.058,0.132
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-10-01,4.23,226.0,0.309,0.383,496,0.06,0.264
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-11-01,4.23,225.0,0.311,0.424,480,0.029,0.165
M-0003,Starbucks Indianapolis #3,Midwest,Drive-Thru,2024-12-01,4.17,154.0,0.313,0.357,535,0.039,0.131
